sender_state,hour_of_day,device_type,network_type,amount_category,total_transactions,fraud_transactions,fraud_rate,avg_fraud_amount
andhra pradesh,0,android,3g,Small (<500),1,0,0.0,0.0
andhra pradesh,0,android,3g,Medium (500-2K),9,0,0.0,0.0
andhra pradesh,0,android,3g,High (2K-10K),2,0,0.0,0.0
andhra pradesh,0,android,4g,Small (<500),47,0,0.0,0.0
andhra pradesh,0,android,4g,Medium (500-2K),42,0,0.0,0.0
andhra pradesh,0,android,4g,High (2K-10K),21,0,0.0,0.0
andhra pradesh,0,android,5g,Small (<500),22,0,0.0,0.0
andhra pradesh,0,android,5g,Medium (500-2K),16,0,0.0,0.0
andhra pradesh,0,android,5g,High (2K-10K),12,0,0.0,0.0
andhra pradesh,0,android,5g,Very High (>10K),1,0,0.0,0.0
andhra pradesh,0,android,wifi,Small (<500),11,0,0.0,0.0
andhra pradesh,0,android,wifi,Medium (500-2K),6,0,0.0,0.0
andhra pradesh,0,android,wifi,High (2K-10K),12,0,0.0,0.0
andhra pradesh,0,ios,3g,Small (<500),1,0,0.0,0.0
andhra pradesh,0,ios,3g,Medium (500-2K),2,0,0.0,0.0
andhra pradesh,0,ios,4g,Small (<500),16,0,0.0,0.0
andhra pradesh,0,ios,4g,Medium (500-2K),12,0,0.0,0.0
andhra pradesh,0,ios,4g,High (2K-10K),6,0,0.0,0.0
andhra pradesh,0,ios,4g,Very High (>10K),1,0,0.0,0.0
andhra pradesh,0,ios,5g,Small (<500),5,0,0.0,0.0
andhra pradesh,0,ios,5g,Medium (500-2K),2,1,50.0,847.0
andhra pradesh,0,ios,5g,High (2K-10K),2,0,0.0,0.0
andhra pradesh,0,ios,wifi,Small (<500),1,0,0.0,0.0
andhra pradesh,0,ios,wifi,Medium (500-2K),2,0,0.0,0.0
andhra pradesh,0,ios,wifi,High (2K-10K),2,0,0.0,0.0
andhra pradesh,0,web,4g,Small (<500),5,0,0.0,0.0
andhra pradesh,0,web,4g,Medium (500-2K),2,0,0.0,0.0
andhra pradesh,0,web,5g,Small (<500),3,0,0.0,0.0
andhra pradesh,0,web,5g,Medium (500-2K),2,0,0.0,0.0
andhra pradesh,0,web,5g,High (2K-10K),1,0,0.0,0.0
andhra pradesh,0,web,wifi,Small (<500),2,0,0.0,0.0
andhra pradesh,0,web,wifi,Medium (500-2K),1,0,0.0,0.0
andhra pradesh,0,web,wifi,High (2K-10K),2,0,0.0,0.0
andhra pradesh,1,android,3g,Small (<500),3,0,0.0,0.0
andhra pradesh,1,android,4g,Small (<500),39,0,0.0,0.0
andhra pradesh,1,android,4g,Medium (500-2K),39,0,0.0,0.0
andhra pradesh,1,android,4g,High (2K-10K),10,0,0.0,0.0
andhra pradesh,1,android,5g,Small (<500),17,0,0.0,0.0
andhra pradesh,1,android,5g,Medium (500-2K),14,0,0.0,0.0
andhra pradesh,1,android,5g,High (2K-10K),6,0,0.0,0.0
andhra pradesh,1,android,5g,Very High (>10K),2,0,0.0,0.0
andhra pradesh,1,android,wifi,Small (<500),6,0,0.0,0.0
andhra pradesh,1,android,wifi,Medium (500-2K),1,0,0.0,0.0
andhra pradesh,1,android,wifi,High (2K-10K),2,0,0.0,0.0
andhra pradesh,1,ios,3g,Small (<500),3,0,0.0,0.0
andhra pradesh,1,ios,4g,Small (<500),6,0,0.0,0.0
andhra pradesh,1,ios,4g,Medium (500-2K),9,0,0.0,0.0
andhra pradesh,1,ios,4g,High (2K-10K),2,0,0.0,0.0
andhra pradesh,1,ios,5g,Small (<500),3,0,0.0,0.0
andhra pradesh,1,ios,5g,Medium (500-2K),2,0,0.0,0.0
andhra pradesh,1,ios,5g,High (2K-10K),3,0,0.0,0.0
andhra pradesh,1,ios,wifi,Small (<500),1,0,0.0,0.0
andhra pradesh,1,ios,wifi,High (2K-10K),3,0,0.0,0.0
andhra pradesh,1,web,4g,Small (<500),2,0,0.0,0.0
andhra pradesh,1,web,4g,Medium (500-2K),5,0,0.0,0.0
andhra pradesh,1,web,5g,Medium (500-2K),1,0,0.0,0.0
andhra pradesh,1,web,5g,High (2K-10K),1,0,0.0,0.0
andhra pradesh,2,android,3g,Small (<500),2,0,0.0,0.0
andhra pradesh,2,android,3g,Medium (500-2K),2,0,0.0,0.0
andhra pradesh,2,android,3g,High (2K-10K),1,0,0.0,0.0
andhra pradesh,2,android,4g,Small (<500),25,0,0.0,0.0
andhra pradesh,2,android,4g,Medium (500-2K),19,0,0.0,0.0
