sender_bank,device_type,network_type,is_peak_hour,day_of_week,total_transactions,failed_transactions,failure_rate,avg_amount
axis,android,3g,0,friday,76,3,3.9473684210526314,1268.8947368421052
axis,android,3g,0,monday,75,1,1.3333333333333335,1238.5733333333333
axis,android,3g,0,saturday,79,4,5.063291139240507,1598.379746835443
axis,android,3g,0,sunday,78,2,2.564102564102564,1191.7692307692307
axis,android,3g,0,thursday,80,6,7.5,1428.85
axis,android,3g,0,tuesday,73,3,4.10958904109589,1302.5342465753424
axis,android,3g,0,wednesday,73,5,6.8493150684931505,1141.1780821917807
axis,android,3g,1,friday,58,4,6.896551724137931,1100.0
axis,android,3g,1,monday,57,0,0.0,1225.6315789473683
axis,android,3g,1,saturday,69,5,7.246376811594203,1493.855072463768
axis,android,3g,1,sunday,66,1,1.5151515151515151,1604.1818181818182
axis,android,3g,1,thursday,52,1,1.9230769230769231,1679.5961538461538
axis,android,3g,1,tuesday,45,3,6.666666666666667,1402.3555555555556
axis,android,3g,1,wednesday,54,1,1.8518518518518516,1332.4814814814815
axis,android,4g,0,friday,875,41,4.685714285714285,1270.7382857142857
axis,android,4g,0,monday,940,45,4.787234042553192,1287.0531914893618
axis,android,4g,0,saturday,816,46,5.637254901960785,1255.876225490196
axis,android,4g,0,sunday,859,40,4.656577415599535,1289.9848661233993
axis,android,4g,0,thursday,844,50,5.924170616113744,1278.2618483412323
axis,android,4g,0,tuesday,863,44,5.098493626882966,1235.1772885283892
axis,android,4g,0,wednesday,924,49,5.303030303030303,1367.3971861471862
axis,android,4g,1,friday,760,42,5.526315789473684,1232.0723684210527
axis,android,4g,1,monday,734,38,5.177111716621254,1346.7724795640327
axis,android,4g,1,saturday,737,28,3.7991858887381276,1249.1194029850747
axis,android,4g,1,sunday,725,45,6.206896551724138,1206.4082758620689
axis,android,4g,1,thursday,738,31,4.200542005420054,1290.3062330623306
axis,android,4g,1,tuesday,724,41,5.662983425414365,1299.1022099447514
axis,android,4g,1,wednesday,702,33,4.700854700854701,1338.3746438746439
axis,android,5g,0,friday,358,15,4.189944134078212,1187.8072625698323
axis,android,5g,0,monday,378,15,3.968253968253968,1518.1693121693122
axis,android,5g,0,saturday,390,19,4.871794871794872,1208.8589743589744
axis,android,5g,0,sunday,359,17,4.735376044568245,1327.1309192200556
axis,android,5g,0,thursday,384,18,4.6875,1308.7838541666667
axis,android,5g,0,tuesday,359,14,3.8997214484679668,1382.9777158774373
axis,android,5g,0,wednesday,405,20,4.938271604938271,1322.7604938271604
axis,android,5g,1,friday,324,9,2.7777777777777777,1383.8549382716049
axis,android,5g,1,monday,287,16,5.574912891986063,1365.7491289198606
axis,android,5g,1,saturday,288,14,4.861111111111112,1304.0902777777778
axis,android,5g,1,sunday,319,12,3.761755485893417,1170.2476489028213
axis,android,5g,1,thursday,292,19,6.506849315068493,1421.9280821917807
axis,android,5g,1,tuesday,341,18,5.278592375366569,1489.7360703812317
axis,android,5g,1,wednesday,288,11,3.8194444444444446,1385.6458333333333
axis,android,wifi,0,friday,136,9,6.61764705882353,1262.8235294117646
axis,android,wifi,0,monday,146,9,6.164383561643835,1000.0890410958904
axis,android,wifi,0,saturday,139,6,4.316546762589928,1289.6762589928057
axis,android,wifi,0,sunday,151,7,4.635761589403973,1304.2781456953642
axis,android,wifi,0,thursday,143,8,5.594405594405594,1306.2377622377621
axis,android,wifi,0,tuesday,162,10,6.172839506172839,1416.4135802469136
axis,android,wifi,0,wednesday,149,8,5.369127516778524,1123.3758389261745
axis,android,wifi,1,friday,130,5,3.8461538461538463,1293.7384615384615
axis,android,wifi,1,monday,115,8,6.956521739130435,1110.2173913043478
axis,android,wifi,1,saturday,109,5,4.587155963302752,1174.467889908257
axis,android,wifi,1,sunday,101,4,3.9603960396039604,1323.118811881188
axis,android,wifi,1,thursday,145,9,6.206896551724138,1345.655172413793
axis,android,wifi,1,tuesday,122,5,4.098360655737705,1595.0819672131147
axis,android,wifi,1,wednesday,114,2,1.7543859649122806,1187.5350877192982
axis,ios,3g,0,friday,14,0,0.0,1619.5714285714287
axis,ios,3g,0,monday,16,1,6.25,1452.3125
axis,ios,3g,0,saturday,14,1,7.142857142857142,837.2142857142857
axis,ios,3g,0,sunday,15,2,13.333333333333334,1457.0666666666666
axis,ios,3g,0,thursday,20,0,0.0,1201.35
axis,ios,3g,0,tuesday,22,1,4.545454545454546,1632.9545454545455
axis,ios,3g,0,wednesday,28,1,3.571428571428571,1977.4642857142858
axis,ios,3g,1,friday,16,0,0.0,1557.125
axis,ios,3g,1,monday,19,1,5.263157894736842,1120.3684210526317
axis,ios,3g,1,saturday,15,1,6.666666666666667,1511.0
axis,ios,3g,1,sunday,11,1,9.090909090909092,1319.7272727272727
axis,ios,3g,1,thursday,15,0,0.0,1059.7333333333333
axis,ios,3g,1,tuesday,16,2,12.5,1033.8125
axis,ios,3g,1,wednesday,19,3,15.789473684210526,1252.0
axis,ios,4g,0,friday,218,4,1.834862385321101,1242.394495412844
axis,ios,4g,0,monday,236,18,7.627118644067797,1387.1906779661017
axis,ios,4g,0,saturday,225,10,4.444444444444445,1393.848888888889
axis,ios,4g,0,sunday,230,6,2.608695652173913,1247.4608695652173
