sender_age_group,sender_state,transaction_type,merchant_category,total_transactions,total_value,avg_transaction_value,fraud_count
18-25,andhra pradesh,bill payment,education,29,84689,2920.31,0
18-25,andhra pradesh,bill payment,entertainment,52,26676,513.0,0
18-25,andhra pradesh,bill payment,food,100,59261,592.61,0
18-25,andhra pradesh,bill payment,fuel,75,106452,1419.36,0
18-25,andhra pradesh,bill payment,grocery,160,144452,902.82,0
18-25,andhra pradesh,bill payment,healthcare,36,9885,274.58,0
18-25,andhra pradesh,bill payment,other,72,73016,1014.11,0
18-25,andhra pradesh,bill payment,shopping,79,189328,2396.56,2
18-25,andhra pradesh,bill payment,transport,75,30706,409.41,1
18-25,andhra pradesh,bill payment,utilities,78,112256,1439.18,0
18-25,andhra pradesh,p2m,education,63,206456,3277.08,1
18-25,andhra pradesh,p2m,entertainment,139,69432,499.51,0
18-25,andhra pradesh,p2m,food,238,149657,628.81,0
18-25,andhra pradesh,p2m,fuel,168,211854,1261.04,2
18-25,andhra pradesh,p2m,grocery,291,300247,1031.78,1
18-25,andhra pradesh,p2m,healthcare,91,32976,362.37,0
18-25,andhra pradesh,p2m,other,183,155361,848.97,0
18-25,andhra pradesh,p2m,shopping,199,640325,3217.71,1
18-25,andhra pradesh,p2m,transport,153,49628,324.37,0
18-25,andhra pradesh,p2m,utilities,173,276767,1599.81,0
18-25,andhra pradesh,p2p,education,61,184684,3027.61,0
18-25,andhra pradesh,p2p,entertainment,168,85197,507.12,0
18-25,andhra pradesh,p2p,food,346,201122,581.28,0
18-25,andhra pradesh,p2p,fuel,198,250306,1264.17,0
18-25,andhra pradesh,p2p,grocery,450,410815,912.92,0
18-25,andhra pradesh,p2p,healthcare,125,36772,294.18,0
18-25,andhra pradesh,p2p,other,233,236211,1013.78,0
18-25,andhra pradesh,p2p,shopping,310,979439,3159.48,1
18-25,andhra pradesh,p2p,transport,177,62120,350.96,0
18-25,andhra pradesh,p2p,utilities,220,367049,1668.4,0
18-25,andhra pradesh,recharge,education,7,21531,3075.86,0
18-25,andhra pradesh,recharge,entertainment,20,9174,458.7,0
18-25,andhra pradesh,recharge,food,42,24818,590.9,0
18-25,andhra pradesh,recharge,fuel,17,27926,1642.71,0
18-25,andhra pradesh,recharge,grocery,51,44860,879.61,1
18-25,andhra pradesh,recharge,healthcare,16,5005,312.81,0
18-25,andhra pradesh,recharge,other,24,25014,1042.25,0
18-25,andhra pradesh,recharge,shopping,37,74656,2017.73,0
18-25,andhra pradesh,recharge,transport,19,4334,228.11,0
18-25,andhra pradesh,recharge,utilities,16,18675,1167.19,0
18-25,delhi,bill payment,education,38,114995,3026.18,0
18-25,delhi,bill payment,entertainment,84,40107,477.46,0
18-25,delhi,bill payment,food,129,78022,604.82,0
18-25,delhi,bill payment,fuel,91,114140,1254.29,1
18-25,delhi,bill payment,grocery,183,192505,1051.94,0
18-25,delhi,bill payment,healthcare,44,16563,376.43,1
18-25,delhi,bill payment,other,96,93612,975.12,0
18-25,delhi,bill payment,shopping,110,374919,3408.35,0
18-25,delhi,bill payment,transport,77,22552,292.88,0
18-25,delhi,bill payment,utilities,85,141119,1660.22,0
18-25,delhi,p2m,education,60,169467,2824.45,0
18-25,delhi,p2m,entertainment,166,84739,510.48,0
18-25,delhi,p2m,food,319,178018,558.05,1
18-25,delhi,p2m,fuel,240,358264,1492.77,0
18-25,delhi,p2m,grocery,430,415434,966.13,0
18-25,delhi,p2m,healthcare,103,40259,390.86,0
18-25,delhi,p2m,other,212,178696,842.91,1
18-25,delhi,p2m,shopping,263,810653,3082.33,1
18-25,delhi,p2m,transport,175,67147,383.7,0
18-25,delhi,p2m,utilities,200,358723,1793.62,0
18-25,delhi,p2p,education,91,305845,3360.93,0
18-25,delhi,p2p,entertainment,247,125696,508.89,2
18-25,delhi,p2p,food,429,246977,575.7,1
18-25,delhi,p2p,fuel,257,375497,1461.08,0
18-25,delhi,p2p,grocery,535,502617,939.47,1
18-25,delhi,p2p,healthcare,139,44022,316.71,0
18-25,delhi,p2p,other,278,274510,987.45,0
18-25,delhi,p2p,shopping,344,1027252,2986.2,1
18-25,delhi,p2p,transport,236,79853,338.36,0
18-25,delhi,p2p,utilities,231,389179,1684.76,1
18-25,delhi,recharge,education,10,36160,3616.0,0
18-25,delhi,recharge,entertainment,17,6985,410.88,0
18-25,delhi,recharge,food,41,18093,441.29,0
18-25,delhi,recharge,fuel,29,30463,1050.45,0
18-25,delhi,recharge,grocery,59,54415,922.29,0
18-25,delhi,recharge,healthcare,16,5443,340.19,0
18-25,delhi,recharge,other,30,21622,720.73,0
18-25,delhi,recharge,shopping,33,99975,3029.55,0
18-25,delhi,recharge,transport,20,5322,266.1,0
18-25,delhi,recharge,utilities,23,33084,1438.43,0
18-25,gujarat,bill payment,education,21,62573,2979.67,0
18-25,gujarat,bill payment,entertainment,60,29165,486.08,0
18-25,gujarat,bill payment,food,120,73480,612.33,0
18-25,gujarat,bill payment,fuel,76,103867,1366.67,0
18-25,gujarat,bill payment,grocery,159,155636,978.84,1
18-25,gujarat,bill payment,healthcare,33,10570,320.3,0
18-25,gujarat,bill payment,other,74,74302,1004.08,0
18-25,gujarat,bill payment,shopping,73,194630,2666.16,0
18-25,gujarat,bill payment,transport,57,16811,294.93,1
18-25,gujarat,bill payment,utilities,66,109346,1656.76,0
18-25,gujarat,p2m,education,53,170545,3217.83,1
18-25,gujarat,p2m,entertainment,131,69870,533.36,0
18-25,gujarat,p2m,food,241,138410,574.32,0
18-25,gujarat,p2m,fuel,181,255771,1413.1,0
18-25,gujarat,p2m,grocery,380,358346,943.02,3
18-25,gujarat,p2m,healthcare,85,28812,338.96,0
18-25,gujarat,p2m,other,172,151714,882.06,0
18-25,gujarat,p2m,shopping,208,587399,2824.03,3
18-25,gujarat,p2m,transport,124,44082,355.5,0
